sku;Brand;name;genere;price;url;img;appoggio;categ_running;tipo_runner;obiettivo_runner;peso_runner;larghezza_pianta;superficie_di_corsa;comfort_scarpa_running
E9BOSG1102901894;Brooks;Brooks Levitate 2 Rosso;Uomo;99.000000;https://sportnetit.com/brooks-levitate-2-uomo-rossa-1102901-894.html;https://sportnetit.com/pub/media/catalog/product/l/e/levitate-rossa-1102901d894-0-1.jpg;Neutro;(A2) Performance;Runner Assiduo,Podista;15-21 km,21-42 km,42 km ed Oltre;60-80 kg,80-100 kg;Media;Strada,Palestra/Tapis Roulant;Morbida,Performance
E9SLSK4065750;Salomon;Salomon Speedcross 4 GTX Uomo Nera-Verde-Rossa;Uomo;99.000000;https://sportnetit.com/salomon-speedcross-4-gtx-uomo-4065750.html;https://sportnetit.com/pub/media/catalog/product/s/a/salomon-speedcross-4-gtx-nera-rossa-verde.jpg;Neutro;(A2) Performance;Runner Assiduo,Podista;5-10 km,15-21 km,21-42 km;Meno di 60 kg,60-80 kg,80-100 kg;Stretta,Media;Sterrato;Morbida,Performance
E9BOSG1102971419;Brooks;Brooks Launch 6 Blu;Uomo;85.000000;https://sportnetit.com/brooks-launch-6-blu.html;https://sportnetit.com/pub/media/catalog/product/b/r/brooks-launch-6-azzurra110297_419_l_wr.jpg;Neutro;(A2) Performance;Runner Assiduo,Podista;Meno di 5km,5-10 km,15-21 km;Meno di 60 kg,60-80 kg;Media;Strada,Palestra/Tapis Roulant;Performance
E9BOSG1102921050;Brooks;Brooks Revel 2 da Uomo Grigia;Uomo;70.000000;https://sportnetit.com/brooks-revel-2-da-uomo-grigia.html;https://sportnetit.com/pub/media/catalog/product/b/r/brooks-revel-2-110292_050_l_wr.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Camminata,Tenersi in Forma;Meno di 5km,5-10 km,15-21 km;Meno di 60 kg,60-80 kg;Media;Strada,Palestra/Tapis Roulant;Performance
E9DISG174467C7840;Diadora;Diadora Mythos Blushield 3 Atlantis/Yellow Fluo da Uomo;Uomo;95.000000;https://sportnetit.com/diadora-mythos-blushield-3-atlantis-yellow-fluo-da-uomo.html;https://sportnetit.com/pub/media/catalog/product/d/i/diadora-blushield-3-uomo-101.174467_c7840_01_hr.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Camminata,Tenersi in Forma,Runner Assiduo;5-10 km,15-21 km;Meno di 60 kg,60-80 kg,80-100 kg;Media;Strada,Palestra/Tapis Roulant;Morbida
I9DISG174468C7861;Diadora;Diadora Mythos Blushield 3 Virtual Pink/Black Donna;Donna;95.000000;https://sportnetit.com/diadora-mythos-blushield-3-virtual-pink-black-donna.html;https://sportnetit.com/pub/media/catalog/product/d/i/diadora-blushield-3-donna-101.174468_c7861_01_hr.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Camminata,Tenersi in Forma;5-10 km,15-21 km;40-60 kg;Media;Strada,Palestra/Tapis Roulant;Morbida
E9ASSG1012A507100;Asics;Asics Gel Excite 6 Donna Bianco;Donna;49.000000;https://sportnetit.com/asics-gel-excite-6-donna-bianco-1012a507-100.html;https://sportnetit.com/pub/media/catalog/product/e/x/excite-6-donna-sp-1012a507-100.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Camminata,Tenersi in Forma,Runner Assiduo;Meno di 5km,5-10 km;Meno di 40 kg,40-60 kg;Media;Strada,Palestra/Tapis Roulant;Morbida
E9MZSGGD182909;Mizuno;Mizuno Wave Knit R2 Uomo;Uomo;99.000000;https://sportnetit.com/mizuno-wave-knit-r2-09.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-knit-uomo-gd1829-09.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Tenersi in Forma,Runner Assiduo;5-10 km,15-21 km,21-42 km;60-80 kg,80-100 kg;Media;Strada,Palestra/Tapis Roulant;Morbida
I9ASSG1012A467401;Asics;Asics Gel Pulse 11 Donna Mako Blue-Sun Coral;Donna;70.000000;https://sportnetit.com/asics-gel-pulse-11-donna-mako-blue-sun-coral.html;https://sportnetit.com/pub/media/catalog/product/a/s/asica-gel-pulse-11-donna---1012a467-401-1.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Camminata,Tenersi in Forma;Meno di 5km,5-10 km,15-21 km;Meno di 40 kg,40-60 kg;Stretta,Media;Strada,Palestra/Tapis Roulant;Morbida
I9ASSG1011A550800;Asics;Asics Gel Pulse 11 Uomo Shocking Orange-Black;Uomo;70.000000;https://sportnetit.com/asics-gel-pulse-11-uomo-shocking-orange-black.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gel-pulse-11-uomo-shocking-orange-black.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Camminata,Tenersi in Forma,Runner Assiduo;Meno di 5km,5-10 km,15-21 km;Meno di 60 kg,60-80 kg;Media;Strada,Palestra/Tapis Roulant;Morbida
I9BOSG1202751064;Brooks;Brooks Dyad 10 Pianta Larga (D) Donna Grigia;Donna;105.000000;https://sportnetit.com/brooks-dyad-10-pianta-larga-d-donna-grigia.html;https://sportnetit.com/pub/media/catalog/product/b/r/brooks__120275064__l.jpg;Neutro;(A4) Ammortizzata-Stabile;Camminata,Tenersi in Forma;Meno di 5km,5-10 km,15-21 km;Sopra 60 kg;Larga;Strada,Palestra/Tapis Roulant;Morbida,Durevole
I9BOSG1102991021;Brooks;Brooks Transcend 6 Uomo Red-Black;Uomo;102.000000;https://sportnetit.com/brooks-transcend-6-uomo-red-black.html;https://sportnetit.com/pub/media/catalog/product/b/r/brooks__110299021__l.jpg;Neutro;(A4) Ammortizzata-Stabile;Runner Assiduo,Podista;5-10 km,15-21 km,21-42 km,42 km ed Oltre;80-100 kg,Sopra 100 kg;Media;Strada,Palestra/Tapis Roulant;Morbida,Durevole
I9BOSG1102862082;Brooks;Brooks Dyad 10 Pianta Larga (2E) Uomo Grigio;Uomo;105.000000;https://sportnetit.com/brooks-dyad-10-pianta-larga-2e-uomo-grigio.html;https://sportnetit.com/pub/media/catalog/product/b/r/brooks__110286082__l.jpg;Neutro;(A4) Ammortizzata-Stabile;Camminata,Tenersi in Forma;Meno di 5km,5-10 km,15-21 km;80-100 kg,Sopra 100 kg;Larga;Strada,Palestra/Tapis Roulant;Morbida,Durevole
I9BOSG1202831059;Brooks;Brooks Glycerin 17 Donna Nera - Viola;Donna;99.000000;https://sportnetit.com/brooks-glycerin-17-donna-059.html;https://sportnetit.com/pub/media/catalog/product/b/r/brooks__120283059__l.jpg;Neutro;(A3) Max.Ammortizzazione - Neutra;Tenersi in Forma,Runner Assiduo,Podista;5-10 km,15-21 km,21-42 km,42 km ed Oltre;40-60 kg,Sopra 60 kg;Media;Strada,Palestra/Tapis Roulant;Morbida,Durevole
I9BOSG1102901027;Brooks;Brooks  Levitate 2 Grey-NightLife-Black;Uomo;99.000000;https://sportnetit.com/brooks-running-levitate-2.html;https://sportnetit.com/pub/media/catalog/product/b/r/brooks-levitate-2-uomo-grigio-verde.jpg;Neutro;(A2) Performance;Runner Assiduo,Podista;15-21 km,21-42 km,42 km ed Oltre;60-80 kg,80-100 kg;Media;Strada,Palestra/Tapis Roulant;Morbida,Performance
