sku;Brand;name;genere;price;url;img;altezzascarpa;ruolo;caratteristicascarpa;larghezzapianta;allenamenti;pesogiocatore
F0MZSVGA204520;Mizuno;Mizuno Wave Supersonic 2 Mid da Uomo Blu;Uomo;70.000000;https://sportnetit.com/mizuno-wave-supersonic-2-mid-20.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-supersonic-2-mid-da-uomo-blu-ga204520.jpg;Mid;Alzatore,Schiacciatore,Libero,Universale;Reattiva,Leggera;Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 70 kg,Tra 70 e 90 kg
F0MZSVGA200520;Mizuno;Mizuno Wave Lightning Z6 Mid Blu;Uomo,Donna,Unisex;99.000000;https://sportnetit.com/mizuno-wave-lightning-z6-mid-20.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-lightning-z6-mid-blu-ga200520.jpg;;;;;;
F0MZSVGA200220;Mizuno;Mizuno Wave Lightning Neo Blu;Uomo,Donna,Unisex;135.000000;https://sportnetit.com/mizuno-wave-lightning-neo-20.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-lightning-neo-unisex-blu-ga200220.jpg;Alta;Alzatore,Schiacciatore,Libero,Universale;Reattiva,Leggera;Stretta,Media;2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Oltre i 70 kg,Meno di 70 kg,Tra 70 e 90 kg
F0MZSVGA196545;Mizuno;Mizuno Wave Voltage Mid Nera;Uomo;87.500000;https://sportnetit.com/mizuno-wave-voltage-mid-45.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-voltage-mid-nera-da-uomo-ga196545.jpg;Alta;Alzatore,Schiacciatore,Centrale;Reattiva,Leggera;Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Meno di 70 kg,Tra 70 e 90 kg
F0MZSVGA191245;Mizuno;Mizuno Wave Momentum Limited Edition Nera;Uomo,Donna,Unisex;108.500000;https://sportnetit.com/mizuno-wave-momentum-limited-edition-45.html;https://sportnetit.com/pub/media/catalog/product/m/i/mizuno-wave-momentum-nera-ga191245.jpg;Bassa;Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 70 e 90 kg,Oltre i 90 kg
F0ASSV1072A014100;Asics;Asics Netburner Super FF White Aquarium;Donna;98.000000;https://sportnetit.com/asics-netburner-super-ff-white-aquarium.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-netburner-super-ff-white-aquarium.jpg;Bassa;;;;;
F0ASSV1072A051101;Asics;Asics Gel Beyond 6 MT Bianca Azzurra da Donna;Donna;84.000000;https://sportnetit.com/asics-gel-beyond-6-101-da-donna.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gel-beyond-6-mt-bianca-azzurra-da-donna.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Reattiva,Stabile;Media;1-2 Allenamenti,2-4 Allenamenti,Oltre 4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg,Oltre i 70 kg
F0ASSV1052A023400;Asics;Asics Sky Elite FF MT Peacot-White da Donna;Donna;96.000000;https://sportnetit.com/asics-sky-elite-ff-mt-peacot-white-da-donna.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-sky-elite-ff-mt-peacot-white-da-donna.jpg;Alta;Alzatore,Schiacciatore,Opposto,Centrale,Universale;Morbida,Stabile;Media,Larga;2-4 Allenamenti,Oltre 4 Allenamenti;Tra 50 e 70 kg,Oltre i 70 kg
F0ASSV1072A037102;Asics;Asics Gel Task 2 MT da Donna Bianca-Azzurra;Donna;54.000000;https://sportnetit.com/asics-gel-task-mt-2-da-donna-bianca-azzurra.html;https://sportnetit.com/pub/media/catalog/product/a/s/asics-gel-task-mt-2-da-donna-bianca-azzurra.jpg;;;;;;
F0JOSVBLOCK902WBIA;Joma;Joma Block da Donna Bianca-Blu-Rosa;Donna;59.000000;https://sportnetit.com/joma-block-902-volley-da-donna.html;https://sportnetit.com/pub/media/catalog/product/j/o/joma-block-da-donna-bianca-blu-rosa.jpg;Alta;Alzatore,Schiacciatore,Libero,Universale;Reattiva,Morbida,Leggera;Stretta,Media;1-2 Allenamenti,2-4 Allenamenti;Meno di 50 kg,Tra 50 e 70 kg
